iata,lat,lon
BTI,70.13400269,-143.5820007
LUR,68.87509918,-166.1100006
PIZ,69.73290253,-163.0050049
ITO,19.72139931,-155.0480042
BTT,66.91390228,-151.529007
FYU,66.57150269,-145.25
TLJ,62.89440155,-155.977005
SNP,57.16730118,-170.2200012
STG,56.57830048,-169.6620026
ILI,59.75439835,-154.9109955
PTU,59.01139832,-161.8200073
FSM,35.33660126,-94.36740112
GFK,47.949299,-97.176102
HNM,20.79560089,-156.0140076
PRC,34.65449905,-112.4199982
TTN,40.27669907,-74.81349945
BOS,42.36429977,-71.00520325
OAK,37.72129822,-122.2210007
OMA,41.30319977,-95.89409637
OGG,20.89859962,-156.4299927
ICT,37.64989853,-97.43309784
MCI,39.2976,-94.713898
MSN,43.13990021,-89.33750153
DLG,59.04470062,-158.5050049
HRO,36.26150131,-93.15470123
PHX,33.43429947,-112.012001
BGR,44.80739975,-68.82810211
GGG,32.38399887,-94.71150208
GEG,47.61989975,-117.5339966
SFO,37.61899948,-122.375
GNV,29.69009972,-82.27179718
MEM,35.04240036,-89.97669983
LAX,33.94250107,-118.4079971
CLE,41.4117012,-81.84980011
CVG,39.04880142,-84.6678009
HON,44.3852005,-98.22850037
JNU,58.35499954,-134.576004
LFT,30.20529938,-91.98760223
EWR,40.69250107,-74.16870117
BOI,43.56439972,-116.2229996
GCK,37.92750168,-100.723999
MOT,48.25939941,-101.2799988
DAL,32.8470993,-96.85179901
HLN,46.60680008,-111.9830017
LCH,30.12610054,-93.22329712
KOA,19.73880005,-156.0460052
MYR,33.67969894,-78.92829895
ACK,41.25310135,-70.06020355
DCA,38.8521,-77.037697
ACY,39.45759964,-74.57720184
PUB,38.28910065,-104.4970016
PQI,46.68899918,-68.0447998
ADQ,57.75,-152.4940033
FLL,26.07259941,-80.15270233
INL,48.56620026,-93.40309906
SLC,40.78839874,-111.9779968
MDT,40.19350052,-76.76339722
LNK,40.85100174,-96.75920105
LAN,42.77870178,-84.58740234
MUE,20.00130081,-155.6679993
MSS,44.93579865,-74.84559631
IAH,29.9843998,-95.34140015
BFL,35.43360138,-119.0569992
ELP,31.80719948,-106.3779984
HRL,26.22850037,-97.65440369
CAE,33.93880081,-81.11949921
PNS,30.47340012,-87.18659973
HOU,29.64539909,-95.27890015
PIT,40.49150085,-80.23290253
BRW,71.285402,-156.766008
MIA,25.79319954,-80.29060364
SEA,47.44900131,-122.3089981
CHA,35.03530121,-85.20379639
JAN,32.31119919,-90.07589722
LGB,33.81769943,-118.1520004
IPT,41.2417984,-76.9210968
IND,39.7173,-86.294403
HPN,41.06700134,-73.70760345
JBR,35.83169937,-90.64640045
YUM,32.65660095,-114.6060028
CNM,32.33750153,-104.2630005
DLH,46.84209824,-92.19360352
BET,60.77980042,-161.8379974
LIH,21.97599983,-159.3390045
HVR,48.54299927,-109.762001
RIC,37.50519943,-77.31970215
SHV,32.44660187,-93.82559967
CDV,60.4917984,-145.4779968
ORF,36.89459991,-76.20120239
BPT,29.95079994,-94.02069855
SAV,32.12760162,-81.20210266
OME,64.5121994,-165.4450073
PIE,27.91020012,-82.68740082
SCC,70.19470215,-148.4649963
SAT,29.53370094,-98.46980286
ROC,43.1189003,-77.67240143
TEB,40.85010147,-74.06079865
RDU,35.87760162,-78.78749847
DAY,39.90240097,-84.2193985
ENA,60.57310104,-151.2449951
IAG,43.1072998,-78.94619751
PHF,37.13190079,-76.49299622
TUS,32.11610031,-110.9410019
PVD,41.73260117,-71.42040253
SBY,38.34049988,-75.51029968
BUR,34.20069885,-118.3590012
DTW,42.21239853,-83.35340118
TPA,27.97550011,-82.53320313
HIB,47.38660049,-92.83899689
MAF,31.94249916,-102.2020035
GRB,44.48509979,-88.12960052
AGS,33.36989975,-81.96450043
ISN,48.17789841,-103.6419983
LIT,34.72940063,-92.22429657
SWF,41.5041008,-74.10479736
HOM,59.64559937,-151.477005
TBN,37.74160004,-92.14070129
DFW,32.89680099,-97.03800201
MLB,28.10280037,-80.64530182
AUS,30.19449997,-97.66989899
LCK,39.813801,-82.927803
MQT,46.35359955,-87.395401
TYS,35.81100082,-83.9940033
STL,38.74869919,-90.37000275
SPS,33.98880005,-98.49189758
LUK,39.10329819,-84.41860199
ATL,33.63669968,-84.42810059
GRR,42.88079834,-85.52279663
FAT,36.77619934,-119.7180023
IPL,32.83420181,-115.5790024
BNA,36.12450027,-86.67819977
LRD,27.54380035,-99.46160126
OTZ,66.88469696,-162.598999
AOO,40.29639816,-78.31999969
ELD,33.22100067,-92.81330109
LGA,40.77719879,-73.87259674
TLH,30.39649963,-84.35030365
ACT,31.61129951,-97.23049927
AUG,44.3205986,-69.79730225
MKL,35.59989929,-88.91560364
MKK,21.1529007,-157.095993
SJT,31.35770035,-100.4960022
CIC,39.79539871,-121.8580017
BTV,44.47190094,-73.15329742
JAX,30.49410057,-81.68789673
DRO,37.1515007,-107.7539978
IAD,38.94449997,-77.45580292
CLL,30.58860016,-96.36380005
MKE,42.94720078,-87.89659882
ABI,32.41130066,-99.68190002
COU,38.81809998,-92.21959686
PDX,45.58869934,-122.5979996
PBI,26.68320084,-80.09559631
OGS,44.68190002,-75.46549988
BFI,47.52999878,-122.302002
HNL,21.31870079,-157.9219971
DSM,41.5340004,-93.6631012
EWN,35.07300186,-77.04290009
SAN,32.73360062,-117.1900024
MLU,32.51089859,-92.03769684
ONT,34.05599976,-117.6009979
ROW,33.30160141,-104.5309982
BRO,25.90679932,-97.42590332
DHN,31.32130051,-85.44960022
FMN,36.74119949,-108.2300034
CRP,27.77039909,-97.50119781
SYR,43.11119843,-76.10630035
MDW,41.7859993,-87.75240326
SJC,37.36259842,-121.9290009
HOB,32.6875,-103.2170029
DEN,39.86169815,-104.6729965
PHL,39.87189865,-75.2410965
SUX,42.40259933,-96.38439941
MCN,32.69279861,-83.64920044
CMH,39.9980011,-82.89189911
GAL,64.73619843,-156.9369965
TXK,33.45370102,-93.99099731
PBG,44.65090179,-73.4681015
ANC,61.17440033,-149.9960022
GRK,31.06719971,-97.8289032
BLI,48.7928009,-122.538002
MOB,30.69120026,-88.24279785
SAF,35.61709976,-106.0889969
BLV,38.5452,-89.835197
RSW,26.53619957,-81.75520325
AKN,58.67679977,-156.6490021
JHM,20.96290016,-156.6730042
JFK,40.63980103,-73.77890015
CYS,41.15570068,-104.8119965
SCK,37.89419937,-121.237999
CHS,32.89860153,-80.04049683
RNO,39.49909973,-119.7679977
KTN,55.35559845,-131.7140045
BHM,33.56290054,-86.75350189
MOD,37.62580109,-120.9540024
SMF,38.69540024,-121.5910034
COS,38.80580139,-104.7009964
BUF,42.94049835,-78.73220062
CDC,37.70100021,-113.098999
BDL,41.93889999,-72.68319702
MFE,26.17580032,-98.23860168
LBB,33.66360092,-101.822998
ORD,41.97859955,-87.90480042
FAI,64.81510162,-147.8560028
ART,43.9919014,-76.021698
PSP,33.82970047,-116.5070038
AMA,35.2193985,-101.7060013
FOE,38.95090103,-95.66359711
ILM,34.27059937,-77.90260315
BTR,30.53319931,-91.14959717
TYR,32.35409927,-95.40239716
BWI,39.17539978,-76.66829681
LNY,20.78560066,-156.951004
AEX,31.32740021,-92.54979706
CDB,55.20610046,-162.7250061
TUL,36.19839859,-95.88809967
SIT,57.04710007,-135.3619995
ISP,40.79520035,-73.10019684
MSP,44.88199997,-93.22180176
ILG,39.67869949,-75.60649872
DUT,53.90010071,-166.5440063
MSY,29.99340057,-90.25800323
PWM,43.64619827,-70.30930328
OKC,35.39310074,-97.60070038
ALB,42.74829865,-73.80169678
VDZ,61.13389969,-146.2480011
SNA,33.67570114,-117.8679962
CPR,42.90800095,-106.4639969
VPS,30.4832,-86.525398
EYW,24.55610085,-81.75959778
CLT,35.2140007,-80.94309998
LAS,36.08010101,-115.1520004
MCO,28.42939949,-81.30899811
FLO,34.1853981,-79.72389984
GTF,47.48199844,-111.3710022
YNG,41.26070023,-80.67910004
PUW,46.7439,-117.110001
LWS,46.37450027,-117.0149994
ELM,42.15990067,-76.89160156
ITH,42.49100113,-76.45839691
MRY,36.5870018,-121.8430023
SBA,34.42620087,-119.8399963
DAB,29.179899,-81.058098
HVN,41.26369858,-72.88680267
AVL,35.43619919,-82.54180145
GSO,36.09780121,-79.93730164
FSD,43.58200073,-96.74189758
MHT,42.93259811,-71.43569946
APF,26.15259933,-81.77529907
SDF,38.1744,-85.736
CHO,38.1385994,-78.45290375
ROA,37.32550049,-79.97540283
LEX,38.03649902,-84.60590363
EVV,38.03699875,-87.53240204
ABQ,35.04019928,-106.6090012
BZN,45.77750015,-111.1529999
BIL,45.80770111,-108.5429993
BTM,45.95479965,-112.4970016
TVC,44.74140167,-85.5821991
BHB,44.45000076,-68.3615036
RKD,44.06010056,-69.09919739
JAC,43.6072998,-110.737999
RFD,42.19540024,-89.09719849
GSP,34.89569855,-82.21890259
BMI,40.47710037,-88.91590118
GPT,30.40730095,-89.07009888
AZO,42.23490143,-85.55210114
TOL,41.58679962,-83.80780029
FWA,40.97850037,-85.19509888
DEC,39.83459854,-88.86569977
CID,41.88470078,-91.71080017
LSE,43.879002,-91.256699
CWA,44.77759933,-89.66680145
PIA,40.66419983,-89.69329834
ATW,44.2580986,-88.51909637
RST,43.90829849,-92.5
CMI,40.03919983,-88.27809906
MHK,39.14099884,-96.67079926
FKL,41.37789917,-79.86039734
GJT,39.12239838,-108.5270004
SGU,37.03638889,-113.5103056
SRQ,27.39539909,-82.55439758
MLI,41.44850159,-90.50749969
BIS,46.77270126,-100.7460022
RAP,44.04529953,-103.0569992
CLD,33.12829971,-117.2799988
FNT,42.9654007,-83.74359894
RDD,40.50899887,-122.2929993
EUG,44.12459946,-123.211998
IDA,43.51459885,-112.0709991
MFR,42.37419891,-122.8730011
RDM,44.2541008,-121.1500015
CAK,40.91609955,-81.44219971
HSV,34.6371994,-86.77510071
PKB,39.3451004,-81.43920135
MGM,32.30059814,-86.39399719
TRI,36.47520065,-82.40740204
PAH,37.06079865,-88.77380371
PGA,36.92610168,-111.447998
FCA,48.3105011,-114.2559967
MBS,43.53290176,-84.07959747
BGM,42.20869827,-75.97979736
PSG,56.80170059,-132.9450073
SFB,28.77759933,-81.23750305
JST,40.31610107,-78.83390045
MSO,46.91630173,-114.0910034
GCN,35.95240021,-112.1470032
EGE,39.64260101,-106.9179993
CSG,32.5163002,-84.93890381
LAW,34.56769943,-98.41660309
FLG,35.13850021,-111.6709976
TWF,42.48180008,-114.487999
MVY,41.39310074,-70.61430359
STC,45.54660034,-94.05989838
GTR,33.45029831,-88.59140015
ERI,42.08312701,-80.17386675
HYA,41.66930008,-70.28040314
MGW,39.64289856,-79.91629791
