date,dow,breakfast,lunch,dinner,note,semester,week_of_sem
7/4/2023,Tue,,SouthCloud Ramen,,,summer,0
7/5/2023,Wed,MA Econ orientation,MA Econ orientation,,,summer,0
7/6/2023,Thu,Home,Wendy's,,,summer,0
7/7/2023,Fri,,Home,China Family,,summer,0
7/8/2023,Sat,,Home,Home,,summer,0
7/9/2023,Sun,Home,Home,,,summer,0
7/10/2023,Mon,Home,Sabor,,Start of semester,summer,1
7/11/2023,Tue,Home,Wendy's,,,summer,1
7/12/2023,Wed,Home,Homemade bring to school,,,summer,1
7/13/2023,Thu,Home,Homemade bring to school,,,summer,1
7/14/2023,Fri,Home,China Family,,,summer,1
7/15/2023,Sat,Home,Home,,,summer,1
7/16/2023,Sun,Home,Home,,,summer,1
7/17/2023,Mon,Home,Homemade bring to school,,,summer,2
7/18/2023,Tue,Home,Wendy's,,,summer,2
7/19/2023,Wed,Home,Homemade bring to school,,,summer,2
7/20/2023,Thu,Home,China Family,,,summer,2
7/21/2023,Fri,Home,SouthCloud Ramen,,,summer,2
7/22/2023,Sat,,Home,Home,,summer,2
7/23/2023,Sun,,Home,Home,,summer,2
7/24/2023,Mon,Home,Wendy's,,,summer,3
7/25/2023,Tue,Home,Chick-fil-A,,,summer,3
7/26/2023,Wed,Home,Sabor,,,summer,3
7/27/2023,Thu,Home,Sabor,,,summer,3
7/28/2023,Fri,Home,Wendy's,,,summer,3
7/29/2023,Sat,,Home,Home,,summer,3
7/30/2023,Sun,,Home,Home,,summer,3
7/31/2023,Mon,Home,Chick-fil-A,,,summer,4
8/1/2023,Tue,Home,Wendy's,,,summer,4
8/2/2023,Wed,Home,Chick-fil-A,Wingstop,,summer,4
8/3/2023,Thu,Home,China Family,,,summer,4
8/4/2023,Fri,Home,Wendy's,,,summer,4
8/5/2023,Sat,,Home,Home,,summer,4
8/6/2023,Sun,,Home,Home,,summer,4
8/7/2023,Mon,Home,Chick-fil-A,,,summer,5
8/8/2023,Tue,Home,O's Campus Café,,,summer,5
8/9/2023,Wed,Home,O's Campus Café,,,summer,5
8/10/2023,Thu,Home,China Family,,,summer,5
8/11/2023,Fri,,Home,Home,,summer,5
8/12/2023,Sat,Home,China Family,,,summer,5
8/13/2023,Sun,,Home,Home,,summer,5
8/14/2023,Mon,Home,Wendy's,,End of semester,summer,6
8/15/2023,Tue,,Home,Home,,fall,0
8/16/2023,Wed,,Home,Home,,fall,0
8/17/2023,Thu,Home,Home,J2 Dining,,fall,0
8/18/2023,Fri,Home,Home,Home,,fall,0
8/19/2023,Sat,Home,Xian Sushi and Noodle,Home,,fall,0
8/20/2023,Sun,,Home,J2 Dining,,fall,0
8/21/2023,Mon,Home,Home,Home,Start of semester,fall,1
8/22/2023,Tue,Home,Jester City Limits,,,fall,1
8/23/2023,Wed,Home,Home,Home,,fall,1
8/24/2023,Thu,Home,Jester City Limits,J2 Dining,,fall,1
8/25/2023,Fri,,Home,J2 Dining,,fall,1
8/26/2023,Sat,,Home,Home,,fall,1
8/27/2023,Sun,,Home,J2 Dining,,fall,1
8/28/2023,Mon,,J2 Dining,J2 Dining,,fall,2
8/29/2023,Tue,Home,J2 Dining,,,fall,2
8/30/2023,Wed,,Home,J2 Dining,,fall,2
8/31/2023,Thu,Home,J2 Dining,J2 Dining,,fall,2
9/1/2023,Fri,Home,J2 Dining,,,fall,2
