"food_class","food_class_l1","food_class_l2","food_class_l3","food_class_l4","meal","semester","week_of_sem","dow","breakfast_or_not","gym_or_not"
"home","other","home","other","other","lunch","summer","0","Sat","0","0"
"home","home","other","home","other","dinner","summer","0","Sat","0","0"
"other","home","home","home","other","lunch","summer","1","Mon","1","0"
"other","other","other","other","home","lunch","summer","1","Thu","1","0"
"other","other","other","other","other","lunch","summer","1","Fri","1","0"
"home","other","other","other","other","lunch","summer","1","Sat","1","0"
"home","home","other","other","other","lunch","summer","1","Sun","1","0"
"other","other","home","home","other","lunch","summer","2","Tue","1","0"
"other","other","other","home","home","lunch","summer","2","Wed","1","0"
"other","other","other","other","home","lunch","summer","2","Thu","1","0"
"other","other","other","other","other","lunch","summer","2","Fri","1","1"
"home","other","other","other","other","lunch","summer","2","Sat","0","0"
"home","home","other","other","other","dinner","summer","2","Sat","0","0"
"home","home","home","other","other","lunch","summer","2","Sun","0","0"
"home","home","home","home","other","dinner","summer","2","Sun","0","0"
"other","home","home","home","home","lunch","summer","3","Mon","1","0"
"other","other","home","home","home","lunch","summer","3","Tue","1","0"
"other","other","other","other","home","lunch","summer","3","Thu","1","0"
"other","other","other","other","other","lunch","summer","3","Fri","1","0"
"home","other","other","other","other","lunch","summer","3","Sat","0","0"
"home","home","other","other","other","dinner","summer","3","Sat","0","0"
"home","home","home","home","other","dinner","summer","3","Sun","0","0"
"other","home","home","home","home","lunch","summer","4","Mon","1","1"
"other","other","home","home","home","lunch","summer","4","Tue","1","0"
"other","other","other","home","home","lunch","summer","4","Wed","1","0"
"other","other","other","other","home","dinner","summer","4","Wed","1","0"
"other","other","other","other","other","lunch","summer","4","Thu","1","1"
"other","other","other","other","other","lunch","summer","4","Fri","1","0"
"home","other","other","other","other","lunch","summer","4","Sat","0","0"
"home","home","home","other","other","lunch","summer","4","Sun","0","0"
"home","home","home","home","other","dinner","summer","4","Sun","0","0"
"other","home","home","home","home","lunch","summer","5","Mon","1","0"
"other","other","other","home","home","lunch","summer","5","Wed","1","0"
"other","other","other","other","home","lunch","summer","5","Thu","1","0"
"home","other","other","other","other","lunch","summer","5","Fri","0","0"
"home","other","home","home","other","lunch","summer","5","Sun","0","0"
"home","home","other","home","home","dinner","summer","5","Sun","0","0"
"other","home","home","other","home","lunch","summer","6","Mon","1","1"
"home","other","home","home","other","lunch","fall","0","Tue","0","0"
"home","home","other","home","home","dinner","fall","0","Tue","0","0"
"home","home","home","other","home","lunch","fall","0","Wed","0","0"
"home","home","home","home","other","dinner","fall","0","Wed","0","0"
"home","home","home","home","home","lunch","fall","0","Thu","1","1"
"home","canteen","home","home","home","lunch","fall","0","Fri","1","0"
"other","home","home","canteen","home","lunch","fall","0","Sat","1","0"
"home","other","home","home","canteen","dinner","fall","0","Sat","1","0"
"home","home","other","home","home","lunch","fall","0","Sun","0","0"
"home","canteen","home","home","other","lunch","fall","1","Mon","1","0"
"home","home","canteen","home","home","dinner","fall","1","Mon","1","0"
"canteen","home","home","canteen","home","lunch","fall","1","Tue","1","1"
"home","canteen","home","home","canteen","lunch","fall","1","Wed","1","0"
"canteen","home","home","canteen","home","lunch","fall","1","Thu","1","1"
"canteen","canteen","home","home","canteen","dinner","fall","1","Thu","1","1"
"home","canteen","canteen","home","home","lunch","fall","1","Fri","0","0"
"canteen","home","canteen","canteen","home","dinner","fall","1","Fri","0","0"
"home","canteen","home","canteen","canteen","lunch","fall","1","Sat","0","0"
"home","home","canteen","home","canteen","dinner","fall","1","Sat","0","0"
"home","home","home","canteen","home","lunch","fall","1","Sun","0","1"
"canteen","home","home","home","canteen","dinner","fall","1","Sun","0","1"
"canteen","canteen","home","home","home","lunch","fall","2","Mon","0","1"
"canteen","canteen","canteen","home","home","dinner","fall","2","Mon","0","1"
"canteen","canteen","canteen","canteen","canteen","lunch","fall","2","Tue","1","1"
"home","canteen","canteen","canteen","canteen","lunch","fall","2","Wed","0","1"
"canteen","home","canteen","canteen","canteen","dinner","fall","2","Wed","0","1"
"home","canteen","home","canteen","canteen","lunch","fall","2","Wed","0","1"
"canteen","home","canteen","home","canteen","dinner","fall","2","Wed","0","1"
"canteen","canteen","home","canteen","home","lunch","fall","2","Thu","1","1"
"canteen","canteen","canteen","home","canteen","dinner","fall","2","Thu","1","1"
"canteen","canteen","canteen","canteen","home","lunch","fall","2","Fri","1","0"
"home","canteen","canteen","canteen","canteen","lunch","fall","2","Sat","1","0"
"home","home","canteen","canteen","canteen","dinner","fall","2","Sat","1","0"
"canteen","home","home","home","canteen","dinner","fall","2","Sun","0","1"
"home","home","canteen","home","home","dinner","fall","3","Mon","0","0"
"home","canteen","canteen","home","home","lunch","fall","3","Wed","0","1"
"canteen","home","canteen","canteen","home","dinner","fall","3","Wed","0","1"
"canteen","canteen","home","canteen","canteen","lunch","fall","3","Thu","0","0"
"other","canteen","canteen","home","canteen","dinner","fall","3","Thu","0","0"
"canteen","other","canteen","canteen","home","lunch","fall","3","Fri","1","1"
"other","canteen","other","canteen","canteen","dinner","fall","3","Fri","1","1"
"home","home","other","canteen","other","dinner","fall","3","Sat","0","0"
"home","home","home","other","canteen","lunch","fall","3","Sun","0","0"
"home","home","home","home","home","lunch","fall","4","Mon","1","1"
"home","canteen","home","home","home","lunch","fall","4","Mon","1","1"
"canteen","home","canteen","home","home","dinner","fall","4","Mon","1","1"
"home","canteen","home","canteen","home","lunch","fall","4","Mon","1","1"
"canteen","home","canteen","home","canteen","dinner","fall","4","Mon","1","1"
"canteen","canteen","home","canteen","home","lunch","fall","4","Tue","1","0"
"home","canteen","canteen","home","canteen","lunch","fall","4","Wed","1","1"
"other","other","home","canteen","canteen","lunch","fall","4","Thu","1","1"
